#Experiment_s	Run_s
SRX2271949	SRR4455492
SRX2271950	SRR4455493
SRX2271950	SRR4455494
SRX2271951	SRR4455495
SRX2271951	SRR4455496
SRX2271952	SRR4455497
SRX2271952	SRR4455498
SRX2271953	SRR4455499
SRX2271953	SRR4455500
SRX2271954	SRR4455501
SRX2271954	SRR4455502
SRX2271955	SRR4455503
SRX2271955	SRR4455504
SRX2271956	SRR4455505
SRX2271956	SRR4455506
SRX2271957	SRR4455507
SRX2271957	SRR4455508
SRX2271958	SRR4455509
SRX2271958	SRR4455510
SRX2271959	SRR4455511
SRX2271959	SRR4455512
SRX2271960	SRR4455513
SRX2271960	SRR4455514
SRX2271961	SRR4455515
SRX2271961	SRR4455516
SRX2271962	SRR4455517
SRX2271962	SRR4455518
SRX2271963	SRR4455519
SRX2271963	SRR4455520
SRX2271964	SRR4455521
SRX2271964	SRR4455522
SRX2271965	SRR4455523
SRX2271965	SRR4455524
SRX2271966	SRR4455525
SRX2271966	SRR4455526
SRX2271967	SRR4455527
SRX2271967	SRR4455528
SRX2271968	SRR4455529
SRX2271968	SRR4455530
SRX2271969	SRR4455531
SRX2271969	SRR4455532
SRX2271970	SRR4455533
SRX2271970	SRR4455534
SRX2271971	SRR4455535
SRX2271971	SRR4455536
SRX2271972	SRR4455537
SRX2271972	SRR4455538
SRX2271973	SRR4455539
SRX2271973	SRR4455540
SRX2271974	SRR4455541
SRX2271974	SRR4455542
SRX2271975	SRR4455543
SRX2271975	SRR4455544
SRX2271976	SRR4455545
SRX2271976	SRR4455546
SRX2271977	SRR4455547
SRX2271977	SRR4455548
SRX2271978	SRR4455549
SRX2271978	SRR4455550
SRX2271979	SRR4455551
SRX2271979	SRR4455552
SRX2271980	SRR4455553
SRX2271980	SRR4455554
SRX2271981	SRR4455555
SRX2271981	SRR4455556
SRX2271982	SRR4455557
SRX2271982	SRR4455558
SRX2271983	SRR4455559
SRX2271983	SRR4455560
SRX2271984	SRR4455561
SRX2271984	SRR4455562
SRX2271985	SRR4455563
SRX2271985	SRR4455564
SRX2271986	SRR4455565
SRX2271986	SRR4455566
SRX2271987	SRR4455567
SRX2271987	SRR4455568
SRX2271988	SRR4455569
SRX2271988	SRR4455570
SRX2271989	SRR4455571
SRX2271989	SRR4455572
SRX2271990	SRR4455573
SRX2271990	SRR4455574
SRX2271991	SRR4455575
SRX2271991	SRR4455576
SRX2271992	SRR4455577
SRX2271992	SRR4455578
SRX2271993	SRR4455579
SRX2271993	SRR4455580
SRX2271994	SRR4455581
SRX2271994	SRR4455582
SRX2271995	SRR4455583
SRX2271995	SRR4455584
SRX2271996	SRR4455585
SRX2271996	SRR4455586
SRX2271997	SRR4455587
SRX2271997	SRR4455588
SRX2271998	SRR4455589
SRX2271998	SRR4455590
SRX2271999	SRR4455591
SRX2271999	SRR4455592
SRX2272000	SRR4455593
SRX2272000	SRR4455594
SRX2272001	SRR4455595
SRX2272001	SRR4455596
SRX2272002	SRR4455597
SRX2272002	SRR4455598
SRX2272003	SRR4455599
SRX2272003	SRR4455600
SRX2272004	SRR4455601
SRX2272004	SRR4455602
SRX2272005	SRR4455603
SRX2272005	SRR4455604
SRX2272006	SRR4455605
SRX2272006	SRR4455606
SRX2272007	SRR4455607
SRX2272007	SRR4455608
SRX2272008	SRR4455609
SRX2272008	SRR4455610
SRX2272009	SRR4455611
SRX2272009	SRR4455612
SRX2272010	SRR4455613
SRX2272010	SRR4455614
SRX2272011	SRR4455615
SRX2272011	SRR4455616
SRX2272012	SRR4455617
SRX2272012	SRR4455618
SRX2272013	SRR4455619
SRX2272013	SRR4455620
SRX2272014	SRR4455621
SRX2272014	SRR4455622
SRX2272015	SRR4455623
SRX2272015	SRR4455624
SRX2272016	SRR4455625
SRX2272016	SRR4455626
SRX2272017	SRR4455627
SRX2272017	SRR4455628
SRX2272018	SRR4455629
SRX2272018	SRR4455630
SRX2272019	SRR4455631
SRX2272019	SRR4455632
SRX2272020	SRR4455633
SRX2272020	SRR4455634
SRX2272021	SRR4455635
SRX2272021	SRR4455636
SRX2272022	SRR4455637
SRX2272022	SRR4455638
SRX2272023	SRR4455639
SRX2272023	SRR4455640
SRX2272024	SRR4455641
SRX2272024	SRR4455642
SRX2272025	SRR4455643
SRX2272025	SRR4455644
SRX2272026	SRR4455645
SRX2272026	SRR4455646
SRX2272027	SRR4455647
SRX2272027	SRR4455648
SRX2272028	SRR4455649
SRX2272028	SRR4455650
SRX2272029	SRR4455651
SRX2272029	SRR4455652
SRX2272030	SRR4455653
SRX2272030	SRR4455654
SRX2272031	SRR4455655
SRX2272031	SRR4455656
SRX2272032	SRR4455657
SRX2272032	SRR4455658
SRX2272033	SRR4455659
SRX2272033	SRR4455660
SRX2272034	SRR4455661
SRX2272034	SRR4455662
SRX2272035	SRR4455663
SRX2272035	SRR4455664
SRX2272036	SRR4455665
SRX2272036	SRR4455666
SRX2272037	SRR4455667
SRX2272037	SRR4455668
SRX2272038	SRR4455669
SRX2272038	SRR4455670
SRX2272039	SRR4455671
SRX2272039	SRR4455672
SRX2272040	SRR4455673
SRX2272040	SRR4455674
SRX2272041	SRR4455675
SRX2272041	SRR4455676
SRX2272042	SRR4455677
SRX2272042	SRR4455678
