#Experiment_s	Run_s
SRX1457085	SRR2967639
SRX1457086	SRR2967640
SRX1457087	SRR2967641
SRX1457088	SRR2967642
SRX1457089	SRR2967643
SRX1457090	SRR2967644
SRX1457091	SRR2967645
SRX1457092	SRR2967646
SRX1457093	SRR2967647
SRX1457094	SRR2967648
SRX1457095	SRR2967649
SRX1457096	SRR2967650
SRX1457097	SRR2967651
SRX1457098	SRR2967652
SRX1457099	SRR2967653
SRX1457100	SRR2967654
SRX1457102	SRR2967656
SRX1457103	SRR2967657
SRX1457104	SRR2967658
SRX1457105	SRR2967659
SRX1457106	SRR2967660
SRX1457107	SRR2967661
SRX1457108	SRR2967662
SRX1457109	SRR2967663
SRX1457110	SRR2967664
SRX1457111	SRR2967665
SRX1457112	SRR2967666
SRX1457113	SRR2967667
SRX1457114	SRR2967668
SRX1457115	SRR2967669
SRX1457116	SRR2967670
SRX1457117	SRR2967671
SRX1457118	SRR2967672
SRX1457119	SRR2967673
SRX1457121	SRR2967675
SRX1457122	SRR2967676
SRX1457123	SRR2967677
SRX1457124	SRR2967678
SRX1457125	SRR2967679
SRX1457126	SRR2967680
SRX1456684	SRR2967238
SRX1456685	SRR2967239
SRX1456686	SRR2967240
SRX1456687	SRR2967241
SRX1456688	SRR2967242
SRX1456689	SRR2967243
SRX1456690	SRR2967244
SRX1456691	SRR2967245
SRX1456692	SRR2967246
SRX1456693	SRR2967247
SRX1456694	SRR2967248
SRX1456695	SRR2967249
SRX1456696	SRR2967250
SRX1456697	SRR2967251
SRX1456698	SRR2967252
SRX1456699	SRR2967253
SRX1456700	SRR2967254
SRX1456701	SRR2967255
SRX1456702	SRR2967256
SRX1456703	SRR2967257
SRX1456704	SRR2967258
SRX1456705	SRR2967259
SRX1456706	SRR2967260
SRX1456707	SRR2967261
SRX1456708	SRR2967262
SRX1456709	SRR2967263
SRX1456710	SRR2967264
SRX1456711	SRR2967265
SRX1456712	SRR2967266
SRX1456713	SRR2967267
SRX1456714	SRR2967268
SRX1456715	SRR2967269
SRX1456716	SRR2967270
SRX1456717	SRR2967271
SRX1456718	SRR2967272
SRX1456719	SRR2967273
SRX1456720	SRR2967274
SRX1456721	SRR2967275
SRX1456722	SRR2967276
SRX1456723	SRR2967277
SRX1456724	SRR2967278
SRX1456725	SRR2967279
SRX1456726	SRR2967280
SRX1456727	SRR2967281
SRX1456728	SRR2967282
SRX1456729	SRR2967283
SRX1456730	SRR2967284
SRX1456731	SRR2967285
SRX1456732	SRR2967286
SRX1456733	SRR2967287
SRX1456734	SRR2967288
SRX1456735	SRR2967289
SRX1456736	SRR2967290
SRX1456737	SRR2967291
SRX1456738	SRR2967292
SRX1456739	SRR2967293
SRX1456740	SRR2967294
SRX1456741	SRR2967295
SRX1456742	SRR2967296
SRX1456743	SRR2967297
SRX1456744	SRR2967298
SRX1456745	SRR2967299
SRX1456746	SRR2967300
SRX1456747	SRR2967301
SRX1456748	SRR2967302
SRX1456749	SRR2967303
SRX1456750	SRR2967304
SRX1456751	SRR2967305
SRX1456752	SRR2967306
SRX1456753	SRR2967307
SRX1456754	SRR2967308
SRX1456755	SRR2967309
SRX1456756	SRR2967310
SRX1456757	SRR2967311
SRX1456758	SRR2967312
SRX1456759	SRR2967313
SRX1456760	SRR2967314
SRX1456761	SRR2967315
SRX1456762	SRR2967316
SRX1456763	SRR2967317
SRX1456764	SRR2967318
SRX1456765	SRR2967319
SRX1456766	SRR2967320
SRX1456768	SRR2967322
SRX1456769	SRR2967323
SRX1456770	SRR2967324
SRX1456771	SRR2967325
SRX1456772	SRR2967326
SRX1456773	SRR2967327
SRX1456774	SRR2967328
SRX1456775	SRR2967329
SRX1456776	SRR2967330
SRX1456777	SRR2967331
SRX1456778	SRR2967332
SRX1456779	SRR2967333
SRX1456780	SRR2967334
SRX1456781	SRR2967335
SRX1456782	SRR2967336
SRX1456783	SRR2967337
SRX1456784	SRR2967338
SRX1456786	SRR2967340
SRX1456787	SRR2967341
SRX1456788	SRR2967342
SRX1456789	SRR2967343
SRX1456790	SRR2967344
SRX1456791	SRR2967345
SRX1456792	SRR2967346
SRX1456793	SRR2967347
SRX1456794	SRR2967348
SRX1456795	SRR2967349
SRX1456796	SRR2967350
SRX1456797	SRR2967351
SRX1456798	SRR2967352
SRX1456799	SRR2967353
SRX1456800	SRR2967354
SRX1456801	SRR2967355
SRX1456802	SRR2967356
SRX1456804	SRR2967358
SRX1456805	SRR2967359
SRX1456806	SRR2967360
SRX1456807	SRR2967361
SRX1456808	SRR2967362
SRX1456809	SRR2967363
SRX1456810	SRR2967364
SRX1456811	SRR2967365
SRX1456812	SRR2967366
SRX1456813	SRR2967367
SRX1456814	SRR2967368
SRX1456815	SRR2967369
SRX1456816	SRR2967370
SRX1456817	SRR2967371
SRX1456818	SRR2967372
SRX1456819	SRR2967373
SRX1456820	SRR2967374
SRX1456821	SRR2967375
SRX1456822	SRR2967376
SRX1456823	SRR2967377
SRX1456825	SRR2967379
SRX1456826	SRR2967380
SRX1456827	SRR2967381
SRX1456828	SRR2967382
SRX1456829	SRR2967383
SRX1456830	SRR2967384
SRX1456831	SRR2967385
SRX1456832	SRR2967386
SRX1456833	SRR2967387
SRX1456834	SRR2967388
SRX1456835	SRR2967389
SRX1456836	SRR2967390
SRX1456837	SRR2967391
SRX1456838	SRR2967392
SRX1456839	SRR2967393
SRX1456840	SRR2967394
SRX1456841	SRR2967395
SRX1456842	SRR2967396
SRX1456843	SRR2967397
SRX1456844	SRR2967398
SRX1456845	SRR2967399
SRX1456846	SRR2967400
SRX1456847	SRR2967401
SRX1456849	SRR2967403
SRX1456850	SRR2967404
SRX1456851	SRR2967405
SRX1456852	SRR2967406
SRX1456853	SRR2967407
SRX1456854	SRR2967408
SRX1456855	SRR2967409
SRX1456856	SRR2967410
SRX1456857	SRR2967411
SRX1456858	SRR2967412
SRX1456859	SRR2967413
SRX1456860	SRR2967414
SRX1456861	SRR2967415
SRX1456862	SRR2967416
SRX1456863	SRR2967417
SRX1456864	SRR2967418
SRX1456866	SRR2967420
SRX1456867	SRR2967421
SRX1456868	SRR2967422
SRX1456869	SRR2967423
SRX1456870	SRR2967424
SRX1456871	SRR2967425
SRX1456872	SRR2967426
SRX1456873	SRR2967427
SRX1456874	SRR2967428
SRX1456875	SRR2967429
SRX1456876	SRR2967430
SRX1456877	SRR2967431
SRX1456878	SRR2967432
SRX1456546	SRR2967100
SRX1456547	SRR2967101
SRX1456548	SRR2967102
SRX1456549	SRR2967103
SRX1456550	SRR2967104
SRX1456551	SRR2967105
SRX1456552	SRR2967106
SRX1456553	SRR2967107
SRX1456554	SRR2967108
SRX1456555	SRR2967109
SRX1456556	SRR2967110
SRX1456557	SRR2967111
SRX1456558	SRR2967112
SRX1456559	SRR2967113
SRX1456560	SRR2967114
SRX1456561	SRR2967115
SRX1456562	SRR2967116
SRX1456563	SRR2967117
SRX1456564	SRR2967118
SRX1456565	SRR2967119
SRX1456566	SRR2967120
SRX1456567	SRR2967121
SRX1456568	SRR2967122
SRX1456569	SRR2967123
SRX1456570	SRR2967124
SRX1456571	SRR2967125
SRX1456572	SRR2967126
SRX1456573	SRR2967127
SRX1456574	SRR2967128
SRX1456575	SRR2967129
SRX1456576	SRR2967130
SRX1456577	SRR2967131
SRX1456579	SRR2967133
SRX1456580	SRR2967134
SRX1456581	SRR2967135
SRX1456582	SRR2967136
SRX1456583	SRR2967137
SRX1456584	SRR2967138
SRX1456585	SRR2967139
SRX1456586	SRR2967140
SRX1456587	SRR2967141
SRX1456588	SRR2967142
SRX1456589	SRR2967143
SRX1456590	SRR2967144
SRX1456591	SRR2967145
SRX1456592	SRR2967146
SRX1456593	SRR2967147
SRX1456594	SRR2967148
SRX1456595	SRR2967149
SRX1456596	SRR2967150
SRX1456597	SRR2967151
SRX1456598	SRR2967152
SRX1456879	SRR2967433
SRX1456880	SRR2967434
SRX1456881	SRR2967435
SRX1456882	SRR2967436
